Lexeme:_computeFunctionValue CurrentNode:                 TK_FUNID Line no.:  1  tokenName:     TK_FUNID valueIfNumber:-1.000 parentNodeSymbol:                 function isLeafNode: yes NodeSymbol:                 TK_FUNID 
Lexeme:         <--- CurrentNode:              TK_ASSIGNOP Line no.:  3  tokenName:  TK_ASSIGNOP valueIfNumber:-1.000 parentNodeSymbol:           assignmentStmt isLeafNode: yes NodeSymbol:              TK_ASSIGNOP 
Lexeme:            ( CurrentNode:                    TK_OP Line no.:  3  tokenName:        TK_OP valueIfNumber:-1.000 parentNodeSymbol:                   factor isLeafNode: yes NodeSymbol:                    TK_OP 
Lexeme:        ----- CurrentNode:                   factor Line no.:  0  tokenName:        ----- valueIfNumber:-1.000 parentNodeSymbol:                     term isLeafNode:  no NodeSymbol:                   factor 
Lexeme:      5000.74 CurrentNode:                  TK_RNUM Line no.:  3  tokenName:      TK_RNUM valueIfNumber:0.000 parentNodeSymbol:                      var isLeafNode: yes NodeSymbol:                  TK_RNUM 
Lexeme:        ----- CurrentNode:                      var Line no.:  0  tokenName:        ----- valueIfNumber:-1.000 parentNodeSymbol:                   factor isLeafNode:  no NodeSymbol:                      var 
Lexeme:        ----- CurrentNode:                   factor Line no.:  0  tokenName:        ----- valueIfNumber:-1.000 parentNodeSymbol:                     term isLeafNode:  no NodeSymbol:                   factor 
Lexeme:        ----- CurrentNode:                     term Line no.:  0  tokenName:        ----- valueIfNumber:-1.000 parentNodeSymbol:     arithmeticExpression isLeafNode:  no NodeSymbol:                     term 
Lexeme:       (null) CurrentNode:                        # Line no.:  0  tokenName:            # valueIfNumber:-1.000 parentNodeSymbol:                termPrime isLeafNode: yes NodeSymbol:                        # 
Lexeme:        ----- CurrentNode:                termPrime Line no.:  0  tokenName:        ----- valueIfNumber:-1.000 parentNodeSymbol:                     term isLeafNode:  no NodeSymbol:                termPrime 
Lexeme:        ----- CurrentNode:     arithmeticExpression Line no.:  0  tokenName:        ----- valueIfNumber:-1.000 parentNodeSymbol:                   factor isLeafNode:  no NodeSymbol:     arithmeticExpression 
Lexeme:       (null) CurrentNode:                        # Line no.:  0  tokenName:            # valueIfNumber:-1.000 parentNodeSymbol:                 expPrime isLeafNode: yes NodeSymbol:                        # 
Lexeme:        ----- CurrentNode:                 expPrime Line no.:  0  tokenName:        ----- valueIfNumber:-1.000 parentNodeSymbol:     arithmeticExpression isLeafNode:  no NodeSymbol:                 expPrime 
Lexeme:            ) CurrentNode:                    TK_CL Line no.:  3  tokenName:        TK_CL valueIfNumber:-1.000 parentNodeSymbol:                   factor isLeafNode: yes NodeSymbol:                    TK_CL 
Lexeme:        ----- CurrentNode:                     term Line no.:  0  tokenName:        ----- valueIfNumber:-1.000 parentNodeSymbol:     arithmeticExpression isLeafNode:  no NodeSymbol:                     term 
Lexeme:       (null) CurrentNode:                        # Line no.:  0  tokenName:            # valueIfNumber:-1.000 parentNodeSymbol:                termPrime isLeafNode: yes NodeSymbol:                        # 
Lexeme:        ----- CurrentNode:                termPrime Line no.:  0  tokenName:        ----- valueIfNumber:-1.000 parentNodeSymbol:                     term isLeafNode:  no NodeSymbol:                termPrime 
Lexeme:        ----- CurrentNode:     arithmeticExpression Line no.:  0  tokenName:        ----- valueIfNumber:-1.000 parentNodeSymbol:           assignmentStmt isLeafNode:  no NodeSymbol:     arithmeticExpression 
Lexeme:            + CurrentNode:                  TK_PLUS Line no.:  3  tokenName:      TK_PLUS valueIfNumber:-1.000 parentNodeSymbol:   lowPrecedenceOperators isLeafNode: yes NodeSymbol:                  TK_PLUS 
Lexeme:        ----- CurrentNode:   lowPrecedenceOperators Line no.:  0  tokenName:        ----- valueIfNumber:-1.000 parentNodeSymbol:                 expPrime isLeafNode:  no NodeSymbol:   lowPrecedenceOperators 
Lexeme:        ----- CurrentNode:                 expPrime Line no.:  0  tokenName:        ----- valueIfNumber:-1.000 parentNodeSymbol:     arithmeticExpression isLeafNode:  no NodeSymbol:                 expPrime 
Lexeme:      5000.74 CurrentNode:                  TK_RNUM Line no.:  3  tokenName:      TK_RNUM valueIfNumber:0.000 parentNodeSymbol:                      var isLeafNode: yes NodeSymbol:                  TK_RNUM 
Lexeme:        ----- CurrentNode:                      var Line no.:  0  tokenName:        ----- valueIfNumber:-1.000 parentNodeSymbol:                   factor isLeafNode:  no NodeSymbol:                      var 
Lexeme:        ----- CurrentNode:                   factor Line no.:  0  tokenName:        ----- valueIfNumber:-1.000 parentNodeSymbol:                     term isLeafNode:  no NodeSymbol:                   factor 
Lexeme:        ----- CurrentNode:                     term Line no.:  0  tokenName:        ----- valueIfNumber:-1.000 parentNodeSymbol:                 expPrime isLeafNode:  no NodeSymbol:                     term 
Lexeme:       (null) CurrentNode:                        # Line no.:  0  tokenName:            # valueIfNumber:-1.000 parentNodeSymbol:                termPrime isLeafNode: yes NodeSymbol:                        # 
